"filename", "language", "CSS", "JSON", "JavaScript", "TypeScript", "YAML", "Markdown", "HTML", "SCSS", "comment", "blank", "total"
"c:\JPEG_algorithm\src\app\components\image-compress\image-compress.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\JPEG_algorithm\src\app\components\image-compress\image-compress.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 5
"c:\JPEG_algorithm\src\app\components\image-compress\image-compress.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\JPEG_algorithm\src\app\components\image-compress\image-compress.component.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 0, 0, 3, 5, 72
"c:\JPEG_algorithm\src\app\components\inputimage\inputimage.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\JPEG_algorithm\src\app\components\inputimage\inputimage.component.html", "HTML", 0, 0, 0, 0, 0, 0, 55, 0, 1, 0, 56
"c:\JPEG_algorithm\src\app\components\inputimage\inputimage.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\JPEG_algorithm\src\app\components\inputimage\inputimage.component.ts", "TypeScript", 0, 0, 0, 31, 0, 0, 0, 0, 1, 14, 46
"c:\JPEG_algorithm\src\app\components\navbar\navbar.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\JPEG_algorithm\src\app\components\navbar\navbar.component.html", "HTML", 0, 0, 0, 0, 0, 0, 54, 0, 2, 2, 58
"c:\JPEG_algorithm\src\app\components\navbar\navbar.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\JPEG_algorithm\src\app\components\navbar\navbar.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\JPEG_algorithm\src\app\components\outputimage\outputimage.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\JPEG_algorithm\src\app\components\outputimage\outputimage.component.html", "HTML", 0, 0, 0, 0, 0, 0, 63, 0, 1, 1, 65
"c:\JPEG_algorithm\src\app\components\outputimage\outputimage.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\JPEG_algorithm\src\app\components\outputimage\outputimage.component.ts", "TypeScript", 0, 0, 0, 34, 0, 0, 0, 0, 2, 12, 48
"c:\JPEG_algorithm\src\app\components\settings\settings.component.css", "CSS", 9016, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9020
"c:\JPEG_algorithm\src\app\components\settings\settings.component.html", "HTML", 0, 0, 0, 0, 0, 0, 155, 0, 0, 1, 156
"c:\JPEG_algorithm\src\app\components\settings\settings.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\JPEG_algorithm\src\app\components\settings\settings.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\JPEG_algorithm\src\app\components\sharebutton\sharebutton.component.html", "HTML", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 21
"c:\JPEG_algorithm\src\app\components\sharebutton\sharebutton.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 101, 0, 3, 104
"c:\JPEG_algorithm\src\app\components\sharebutton\sharebutton.component.spec.ts", "TypeScript", 0, 0, 0, 20, 0, 0, 0, 0, 0, 6, 26
"c:\JPEG_algorithm\src\app\components\sharebutton\sharebutton.component.ts", "TypeScript", 0, 0, 0, 11, 0, 0, 0, 0, 0, 5, 16
"c:\JPEG_algorithm\src\app\fileInformation.ts", "TypeScript", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\JPEG_algorithm\src\assets\dist\compressor.common.js", "JavaScript", 0, 0, 629, 0, 0, 0, 0, 0, 184, 154, 967
"c:\JPEG_algorithm\src\assets\dist\compressor.esm.js", "JavaScript", 0, 0, 628, 0, 0, 0, 0, 0, 184, 153, 965
"c:\JPEG_algorithm\src\assets\dist\compressor.js", "JavaScript", 0, 0, 634, 0, 0, 0, 0, 0, 184, 155, 973
"c:\JPEG_algorithm\src\assets\dist\compressor.min.js", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 9, 0, 10
"c:\JPEG_algorithm\src\assets\js\compressor.js", "JavaScript", 0, 0, 635, 0, 0, 0, 0, 0, 175, 154, 964
"c:\JPEG_algorithm\src\assets\js\deadline.js", "JavaScript", 0, 0, 61, 0, 0, 0, 0, 0, 13, 23, 97
"c:\JPEG_algorithm\src\assets\js\decoder.js", "JavaScript", 0, 0, 1043, 0, 0, 0, 0, 0, 78, 89, 1210
"c:\JPEG_algorithm\src\assets\js\dropmain.js", "JavaScript", 0, 0, 130, 0, 0, 0, 0, 0, 18, 38, 186
