Date : 2021-06-01 21:36:32
Directory : c:\JPEG_algorithm
Total : 91 files,  28475 codes, 1169 comments, 1327 blanks, all 30971 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\JPEG_algorithm\src\app\components\drop-and-drag\drop-and-drag.component.spec.ts         | TypeScript |         20 |          0 |          6 |         26 |
| c:\JPEG_algorithm\src\app\components\drop-and-drag\drop-and-drag.component.ts              | TypeScript |         13 |          0 |          7 |         20 |
| c:\JPEG_algorithm\src\app\components\drop\drop.component.css                               | CSS        |         63 |          0 |         14 |         77 |
| c:\JPEG_algorithm\src\app\components\drop\drop.component.html                              | HTML       |        159 |          2 |          7 |        168 |
| c:\JPEG_algorithm\src\app\components\drop\drop.component.spec.ts                           | TypeScript |         20 |          0 |          6 |         26 |
| c:\JPEG_algorithm\src\app\components\drop\drop.component.ts                                | TypeScript |         93 |         10 |         15 |        118 |
| c:\JPEG_algorithm\src\app\components\footer\footer.component.html                          | HTML       |         76 |         60 |          5 |        141 |
| c:\JPEG_algorithm\src\app\components\footer\footer.component.scss                          | SCSS       |         98 |          0 |         10 |        108 |
| c:\JPEG_algorithm\src\app\components\footer\footer.component.spec.ts                       | TypeScript |         20 |          0 |          6 |         26 |
| c:\JPEG_algorithm\src\app\components\footer\footer.component.ts                            | TypeScript |         11 |          0 |          5 |         16 |
| c:\JPEG_algorithm\src\app\components\home\home.component.css                               | CSS        |          0 |          0 |          1 |          1 |
| c:\JPEG_algorithm\src\app\components\home\home.component.html                              | HTML       |         18 |          0 |          2 |         20 |
| c:\JPEG_algorithm\src\app\components\home\home.component.spec.ts                           | TypeScript |         20 |          0 |          6 |         26 |
| c:\JPEG_algorithm\src\app\components\home\home.component.ts                                | TypeScript |         17 |          1 |         11 |         29 |
| c:\JPEG_algorithm\src\app\components\image-compress\image-compress.component.css           | CSS        |          0 |          0 |          1 |          1 |
| c:\JPEG_algorithm\src\app\components\image-compress\image-compress.component.html          | HTML       |          0 |          5 |          0 |          5 |
| c:\JPEG_algorithm\src\app\components\image-compress\image-compress.component.spec.ts       | TypeScript |         20 |          0 |          6 |         26 |
| c:\JPEG_algorithm\src\app\components\image-compress\image-compress.component.ts            | TypeScript |         64 |          3 |          5 |         72 |
| c:\JPEG_algorithm\src\app\components\inputimage\inputimage.component.css                   | CSS        |          0 |          0 |          1 |          1 |
| c:\JPEG_algorithm\src\app\components\inputimage\inputimage.component.html                  | HTML       |         55 |          1 |          0 |         56 |
| c:\JPEG_algorithm\src\app\components\inputimage\inputimage.component.spec.ts               | TypeScript |         20 |          0 |          6 |         26 |
| c:\JPEG_algorithm\src\app\components\inputimage\inputimage.component.ts                    | TypeScript |         31 |          1 |         14 |         46 |
| c:\JPEG_algorithm\src\app\components\navbar\navbar.component.css                           | CSS        |          0 |          0 |          1 |          1 |
| c:\JPEG_algorithm\src\app\components\navbar\navbar.component.html                          | HTML       |         54 |          2 |          2 |         58 |
| c:\JPEG_algorithm\src\app\components\navbar\navbar.component.spec.ts                       | TypeScript |         20 |          0 |          6 |         26 |
| c:\JPEG_algorithm\src\app\components\navbar\navbar.component.ts                            | TypeScript |         11 |          0 |          5 |         16 |
| c:\JPEG_algorithm\src\app\components\outputimage\outputimage.component.css                 | CSS        |          0 |          0 |          1 |          1 |
| c:\JPEG_algorithm\src\app\components\outputimage\outputimage.component.html                | HTML       |         63 |          1 |          1 |         65 |
| c:\JPEG_algorithm\src\app\components\outputimage\outputimage.component.spec.ts             | TypeScript |         20 |          0 |          6 |         26 |
| c:\JPEG_algorithm\src\app\components\outputimage\outputimage.component.ts                  | TypeScript |         34 |          2 |         12 |         48 |
| c:\JPEG_algorithm\src\app\components\settings\settings.component.css                       | CSS        |          0 |          0 |          1 |          1 |
| c:\JPEG_algorithm\src\app\components\settings\settings.component.html                      | HTML       |        155 |          0 |          1 |        156 |
| c:\JPEG_algorithm\src\app\components\settings\settings.component.spec.ts                   | TypeScript |         20 |          0 |          6 |         26 |
| c:\JPEG_algorithm\src\app\components\settings\settings.component.ts                        | TypeScript |         11 |          0 |          5 |         16 |
| c:\JPEG_algorithm\src\app\components\sharebutton\sharebutton.component.html                | HTML       |         21 |          0 |          0 |         21 |
| c:\JPEG_algorithm\src\app\components\sharebutton\sharebutton.component.scss                | SCSS       |        101 |          0 |          3 |        104 |
| c:\JPEG_algorithm\src\app\components\sharebutton\sharebutton.component.spec.ts             | TypeScript |         20 |          0 |          6 |         26 |
| c:\JPEG_algorithm\src\app\components\sharebutton\sharebutton.component.ts                  | TypeScript |         11 |          0 |          5 |         16 |
| c:\JPEG_algorithm\src\app\fileInformation.ts                                               | TypeScript |          8 |          0 |          1 |          9 |
| c:\JPEG_algorithm\src\assets\dist\compressor.common.js                                     | JavaScript |        629 |        184 |        154 |        967 |
| c:\JPEG_algorithm\src\assets\dist\compressor.esm.js                                        | JavaScript |        628 |        184 |        153 |        965 |
| c:\JPEG_algorithm\src\assets\dist\compressor.js                                            | JavaScript |        634 |        184 |        155 |        973 |
| c:\JPEG_algorithm\src\assets\dist\compressor.min.js                                        | JavaScript |          1 |          9 |          0 |         10 |
| c:\JPEG_algorithm\src\assets\js\deadline.js                                                | JavaScript |         61 |         13 |         23 |         97 |
| c:\JPEG_algorithm\src\assets\js\decoder.js                                                 | JavaScript |      1,044 |         78 |         90 |      1,212 |
| c:\JPEG_algorithm\src\assets\js\dropmain.js                                                | JavaScript |        127 |         21 |         41 |        189 |
| c:\JPEG_algorithm\src\assets\js\encoder.js                                                 | JavaScript |        720 |        136 |        134 |        990 |
| c:\JPEG_algorithm\src\assets\js\png-node.js                                                | JavaScript |        313 |         43 |         47 |        403 |
| c:\JPEG_algorithm\src\assets\js\png.js                                                     | JavaScript |        440 |         48 |         73 |        561 |
| c:\JPEG_algorithm\src\assets\js\zlib.js                                                    | JavaScript |        383 |         39 |         42 |        464 |
| c:\JPEG_algorithm\src\environments\environment.prod.ts                                     | TypeScript |          3 |          0 |          2 |          5 |
| c:\JPEG_algorithm\src\environments\environment.ts                                          | TypeScript |          6 |         11 |          6 |         23 |
| c:\JPEG_algorithm\src\index.html                                                           | HTML       |         13 |          0 |          2 |         15 |
| c:\JPEG_algorithm\src\main.ts                                                              | TypeScript |         11 |          0 |          6 |         17 |
| c:\JPEG_algorithm\src\polyfills.ts                                                         | TypeScript |          1 |         57 |          8 |         66 |
| c:\JPEG_algorithm\src\styles.css                                                           | CSS        |          0 |          1 |          1 |          2 |
| c:\JPEG_algorithm\src\test.ts                                                              | TypeScript |         18 |          4 |          4 |         26 |
| c:\JPEG_algorithm\tsconfig.app.json                                                        | JSON       |         14 |          1 |          1 |         16 |
| c:\JPEG_algorithm\tsconfig.json                                                            | JSON       |         29 |          1 |          1 |         31 |
| c:\JPEG_algorithm\tsconfig.spec.json                                                       | JSON       |         17 |          1 |          1 |         19 |
| c:\JPEG_algorithm\tslint.json                                                              | JSON       |        152 |          0 |          1 |        153 |
| Total                                                                                      |            |     28,475 |      1,169 |      1,327 |     30,971 |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
